As-Of-Date,Symbol,Name,% of Assets,Market Value
2020-12-31,SPR,SPIRIT AEROSYSTEMS HOLD CL A COMMON STOCK USD.01,0.0106929600,1482918.2400000000
2020-12-31,CHNG,CHANGE HEALTHCARE INC COMMON STOCK USD.001,0.0106839400,1481667.9000000000
2020-12-31,GPS,GAP INC/THE COMMON STOCK USD.05,0.0106807100,1481219.1600000000
2020-12-31,GTLS,CHART INDUSTRIES INC COMMON STOCK USD.01,0.0106806400,1481209.2500000000
2020-12-31,CACC,CREDIT ACCEPTANCE CORP COMMON STOCK USD.01,0.0106551300,1477671.6600000000
2020-12-31,PRLB,PROTO LABS INC COMMON STOCK USD.001,0.0106431800,1476014.8000000000
2020-12-31,CROX,CROCS INC COMMON STOCK USD.001,0.0106246900,1473449.9000000000
2020-12-31,JCOM,J2 GLOBAL INC COMMON STOCK USD.01,0.0106000900,1470039.1200000000
2020-12-31,RLI,RLI CORP COMMON STOCK USD1.0,0.0105966100,1469556.5000000000
2020-12-31,EXP,EAGLE MATERIALS INC COMMON STOCK USD.01,0.0105901700,1468662.8500000000
2020-12-31,FCNCA,FIRST CITIZENS BCSHS   CL A COMMON STOCK USD1.0,0.0105096500,1457497.2600000000
2020-12-31,HXL,HEXCEL CORP COMMON STOCK USD.01,0.0104863400,1454263.5900000000
2020-12-31,CRI,CARTER S INC COMMON STOCK USD.01,0.0104806600,1453475.5700000000
2020-12-31,PK,PARK HOTELS + RESORTS INC REIT USD.01,0.0104134100,1444150.0500000000
2020-12-31,HIW,HIGHWOODS PROPERTIES INC REIT USD.01,0.0104131700,1444117.2000000000
2020-12-31,IIPR,INNOVATIVE INDUSTRIAL PROPER REIT USD.001,0.0103778500,1439218.6700000000
2020-12-31,UHAL,AMERCO COMMON STOCK USD.25,0.0103766600,1439053.2000000000
2020-12-31,WING,WINGSTOP INC COMMON STOCK USD.01,0.0103750500,1438830.2500000000
2020-12-31,NRZ,NEW RESIDENTIAL INVESTMENT REIT USD.01,0.0103664800,1437642.0800000000
2020-12-31,CNXC,CONCENTRIX CORP COMMON STOCK,0.0103531200,1435788.9000000000
2020-12-31,BF.A,BROWN FORMAN CORP CLASS A COMMON STOCK USD.15,0.0103507300,1435456.8600000000
